Kelly Services,kelly services,"Kelly Services, Inc. Class B",KELYB,
Western Union,western union,Western Union Corporation,SVXHJK-R,
Envision Healthcare Holdings,envision healthcare,"Envision Healthcare Holdings, Inc.",EVHC.1,
Visteon,visteon,Visteon Corporation,VC,
Arthur J. Gallagher,arthur j gallagher,Arthur J. Gallagher & Co.,AJG,
Host Hotels & Resorts,host hotels resorts,"Host Hotels & Resorts, Inc.",HST,
Ashland,ashland,"Ashland Global Holdings, Inc.",ASH,guess
Insight Enterprises,insight enterprises,"Insight Enterprises, Inc.",NSIT,
Energy Future Holdings,energy future,Future Now Incorporated,FNOW,guess
Markel,markel,Markel Corporation,MKL,
Essendant,essendant,Essendant Inc.,ESND,
CH2M Hill,ch2m hill,,,NONE FOUND
Western & Southern Financial Group,western southern financial,,,NONE FOUND
Owens Corning,owens corning,Owens Corning,OC,
S&P Global,sp global,"S&P Global, Inc.",SPGI,
Raymond James Financial,raymond james financial,"Raymond James Financial, Inc.",RJF,
NiSource,nisource,NiSource Inc,NI,
Airgas,airgas,"Airgas, Inc.",ARG,
ABM Industries,abm,ABM Industries Incorporated,ABM,
Citizens Financial Group,citizens financial,"Citizens Financial Group, Inc.",CFG,
Booz Allen Hamilton Holding,booz allen hamilton,Booz Allen Hamilton Holding Corporation Class A,BAH,
Simon Property Group,simon property,"Simon Property Group, Inc.",SPG,
Domtar,domtar,Domtar Corporation,UFS,
Rockwell Collins,rockwell collins,"Rockwell Collins, Inc.",COL,
Lam Research,lam research,Lam Research Corporation,LRCX,
Fiserv,fiserv,"Fiserv, Inc.",FISV,
Spectra Energy,spectra energy,"Spectra Energy Partners, LP",SEP,
Navient,navient,Navient Corp,NAVI,
Big Lots,big lots,"Big Lots, Inc.",BIG,
Telephone & Data Systems,telephone data systems,Telephone & Data Systems - Special,TDS.S,guess
First American Financial,first american financial,First American Financial Corporation,FAMRB,
NVR,nvr,"NVR, Inc.",NVR,
Cincinnati Financial,cincinnati financial,Cincinnati Financial Corporation,CINF,
Burlington Stores,burlington stores,"Burlington Stores, Inc.",BURL,
